[02:05:09 | 13-02-2025] Transaction Confirmed: https://reddio-devnet.l2scan.co/tx/0x1c2c49ae998396441501f8f30dc0126a153ab6fb0e0c9b30ae6b03ba3fe7cd81
[02:05:28 | 13-02-2025] Transaction Confirmed: https://sepolia.etherscan.io/tx/0x7773458140d42e9e1a857db404583ba30857dedb0fdbadb5b9811eb1ee66566e
[02:08:31 | 13-02-2025] Transfer Task failed for 0x000004ad77FB28b1661d7836D640AdD49aa2DE66: Request failed with status code 400
[02:08:34 | 13-02-2025] Bridge Task failed for 0x000004ad77FB28b1661d7836D640AdD49aa2DE66: Request failed with status code 400
[09:15:17 | 13-02-2025] Transaction Confirmed: https://reddio-devnet.l2scan.co/tx/0x7b4f5efa5aa0ca143b1c7d5414ca3f696c26db40675c21e2fcd7d7598de2d891
[09:15:29 | 13-02-2025] Transaction Confirmed: https://sepolia.etherscan.io/tx/0x50cb82caf4b38c17f749b11776be06fb205bf9dbaa61acd3cd99ae8eb724decf
[09:18:36 | 13-02-2025] Transfer Task failed for 0x000004ad77FB28b1661d7836D640AdD49aa2DE66: Request failed with status code 400
[09:18:44 | 13-02-2025] Bridge Task failed for 0x000004ad77FB28b1661d7836D640AdD49aa2DE66: Request failed with status code 400
[18:31:02 | 13-02-2025] Transaction Confirmed: https://reddio-devnet.l2scan.co/tx/0x4f1786339969bddade751784aec2b960ecc59a8f9d266ae8a7957841b11ab83d
[18:31:13 | 13-02-2025] Transaction Confirmed: https://sepolia.etherscan.io/tx/0xc552ab43e9f49178dd1b7569900803fbba87597591519a5eabb4d2efb4166206
[18:34:22 | 13-02-2025] Transfer Task failed for 0x5f879D48CC3b7fDbc88025F8E2dAF61265Ea4099: Request failed with status code 400
[18:34:27 | 13-02-2025] Bridge Task failed for 0x5f879D48CC3b7fDbc88025F8E2dAF61265Ea4099: Request failed with status code 400
[09:12:33 | 14-02-2025] Transaction Confirmed: https://reddio-devnet.l2scan.co/tx/0x53dee25bdf57934f0955c600c98a4068da039bcb1b1c71f23ab7ed61c24fbdf2
[09:12:52 | 14-02-2025] Transaction Confirmed: https://sepolia.etherscan.io/tx/0x34f06c5cda4edbf35ff3cf7b8891556f10c05eccce6e9c6f8ddd594e2c68d3d7
[09:15:55 | 14-02-2025] Transfer Task successful for 0x5f879D48CC3b7fDbc88025F8E2dAF61265Ea4099
[09:15:58 | 14-02-2025] Bridge Task successful for 0x5f879D48CC3b7fDbc88025F8E2dAF61265Ea4099
[09:11:16 | 15-02-2025] Transaction Confirmed: https://reddio-devnet.l2scan.co/tx/0x9b03e84537ebded30dfd8792e990f89d7fa948fafef8dcbd57502f6dc5d8fe39
[09:11:24 | 15-02-2025] Transaction Confirmed: https://sepolia.etherscan.io/tx/0x6f5aff76fbba409a96014686dd91d553cb77ab63f3a7b1616c86d4d78124a568
[09:14:27 | 15-02-2025] Transfer Task successful for 0x5f879D48CC3b7fDbc88025F8E2dAF61265Ea4099
[09:14:30 | 15-02-2025] Bridge Task successful for 0x5f879D48CC3b7fDbc88025F8E2dAF61265Ea4099
[09:18:09 | 16-02-2025] Transaction Confirmed: https://reddio-devnet.l2scan.co/tx/0x536cbfc998e70a5fe3be21cbe99f11fb86ec35bac121ea82f17480fdcb9a4266
